username,email,password,specialization,sub_specialization,experience_years,cases_handled,location,area,languages_spoken,court_experience,hourly_rate,success_rate,bio,is_available
lawyer_stevensleslie,lawyer_21@sherman.com,defaultpassword123,Immigration Law,Citizenship,14,341,Karachi,Clifton,"Pashto (Conversational), Sindhi (Basic), Urdu (Native), Punjabi (Conversational)",Special Tribunals,6885,69%,"Cut see expert. Down painting left TV Republican fast study. Doctor little fly husband painting building type. Owner call second pressure be.

Specializing in citizenship cases in Karachi. Handled 341+ cases with 69% success rate.",False
lawyer_martinmaria,lawyer_22@taylor-wilson.com,defaultpassword123,Property Law,Land Disputes,10,468,Karachi,Clifton,"English (Fluent), Urdu (Native), Punjabi (Conversational)","Session Court, Special Tribunals",12872,76%,"Still he course order check none son.
Executive wrong usually there know avoid sit evidence. May avoid decade later health. Customer current along affect drop general statement.

Specializing in land disputes cases in Karachi. Handled 468+ cases with 76% success rate.",True
lawyer_mary98,lawyer_23@moore.org,defaultpassword123,Corporate Law,Mergers,17,91,Peshawar,Hayatabad,"Punjabi (Conversational), Pashto (Conversational), English (Fluent), Sindhi (Basic)","Special Tribunals, High Court",13506,64%,"Republican information guy point training action high finally.
Itself maybe Congress strategy. Develop walk gun bank bill add. Sometimes both traditional dog.

Specializing in mergers cases in Peshawar. Handled 91+ cases with 64% success rate.",False
lawyer_parrishkristen,lawyer_24@jackson.com,defaultpassword123,Immigration Law,Citizenship,15,188,Islamabad,F-8,"Punjabi (Conversational), Sindhi (Basic), English (Fluent)",District Court,13379,73%,"Data some situation ten.
What stay represent want strategy. Measure job year administration get indeed note. Fund house else seven career.

Specializing in citizenship cases in Islamabad. Handled 188+ cases with 73% success rate.",True
lawyer_alexanderaguilar,lawyer_25@fernandez-lara.info,defaultpassword123,Civil Rights,Discrimination,8,149,Lahore,DHA,"Sindhi (Basic), Punjabi (Conversational), Pashto (Conversational)","District Court, Special Tribunals, High Court",9711,90%,"Fly kid character. Radio morning democratic rest account task item. Then water significant could stage base.

Specializing in discrimination cases in Lahore. Handled 149+ cases with 90% success rate.",True
lawyer_katiealexander,lawyer_26@juarez-lopez.biz,defaultpassword123,Corporate Law,Compliance,13,306,Quetta,Samungli Road,"Sindhi (Basic), Punjabi (Conversational), Urdu (Native), English (Fluent)","High Court, Session Court, Special Tribunals",3711,83%,"Purpose kid everyone. Save yeah past level everybody message. About bag yes moment mother which security.
One financial do individual discuss education man. Whose top cause about.

Specializing in compliance cases in Quetta. Handled 306+ cases with 83% success rate.",False
lawyer_darrylwilson,lawyer_27@hawkins-smith.com,defaultpassword123,Criminal Law,White Collar Crimes,20,406,Quetta,Jinnah Town,"Pashto (Conversational), Punjabi (Conversational), Urdu (Native)",High Court,15308,64%,"Check first responsibility. Production mean position policy reason meet analysis letter. Accept long threat though well southern player economic.
Order attorney face yes. Interview occur more garden.

Specializing in white collar crimes cases in Quetta. Handled 406+ cases with 64% success rate.",True
lawyer_ccasey,lawyer_28@fernandez.info,defaultpassword123,Intellectual Property,Copyright,19,135,Peshawar,University Town,"Pashto (Conversational), Punjabi (Conversational)",District Court,12668,70%,"Why way industry say board far. Amount read issue picture sell.

Specializing in copyright cases in Peshawar. Handled 135+ cases with 70% success rate.",True
lawyer_carlbarton,lawyer_29@mcmillan.com,defaultpassword123,Intellectual Property,Patents,14,48,Quetta,Samungli Road,"Punjabi (Conversational), Urdu (Native)","District Court, Special Tribunals",19751,90%,"Article political fear new. Including explain bring explain whether such or.
Enough left small now officer fine. Pull either real attention science development good.

Specializing in patents cases in Quetta. Handled 48+ cases with 90% success rate.",True
lawyer_johnsonelizabeth,lawyer_30@gonzalez.com,defaultpassword123,Immigration Law,Deportation,12,278,Karachi,Clifton,"English (Fluent), Urdu (Native)","Special Tribunals, High Court, District Court",13832,64%,"Surface receive ability. Matter really support personal only put off. Story bit grow party operation type quickly.
Stop decide position turn. Focus like market beyond whose at.

Specializing in deportation cases in Karachi. Handled 278+ cases with 64% success rate.",False
lawyer_hernandeztabitha,lawyer_31@marquez.com,defaultpassword123,Property Law,Land Disputes,9,412,Quetta,Samungli Road,"Urdu (Native), Punjabi (Conversational)","Special Tribunals, Session Court, High Court",2306,77%,"Western really Republican reach source important unit. Person TV happy issue painting. Pattern exactly push place remain baby.
White discuss drug media education. Southern garden improve senior yet.

Specializing in land disputes cases in Quetta. Handled 412+ cases with 77% success rate.",False
lawyer_ibarramichael,lawyer_32@fox-byrd.net,defaultpassword123,Criminal Law,White Collar Crimes,18,500,Quetta,Samungli Road,"Urdu (Native), English (Fluent), Punjabi (Conversational), Sindhi (Basic)","High Court, Special Tribunals",7185,75%,"Happy again certainly accept spend power. Forward spring center recently whatever eight three offer. Finish life section add car yeah. Television rate whose sense former war.

Specializing in white collar crimes cases in Quetta. Handled 500+ cases with 75% success rate.",True
lawyer_williamsjoseph,lawyer_33@brown.com,defaultpassword123,Criminal Law,Drug Offenses,15,206,Lahore,Model Town,"Urdu (Native), English (Fluent)",Session Court,17068,74%,"Accept car key imagine need fact. Society door discuss production sister off. Indeed eat trip market everybody.

Specializing in drug offenses cases in Lahore. Handled 206+ cases with 74% success rate.",False
lawyer_scott60,lawyer_34@cobb.org,defaultpassword123,Immigration Law,Visas,2,141,Quetta,Jinnah Town,"English (Fluent), Sindhi (Basic), Urdu (Native)",Session Court,18508,83%,"Consumer ground site star example kind person. Site article guess sea within oil region official. Miss begin mind sell seem.

Specializing in visas cases in Quetta. Handled 141+ cases with 83% success rate.",False
lawyer_sandovalmichael,lawyer_35@george.info,defaultpassword123,Intellectual Property,Patents,20,427,Quetta,Jinnah Town,"Sindhi (Basic), Urdu (Native), Punjabi (Conversational), English (Fluent)","High Court, Special Tribunals",9866,84%,"Area floor trade phone prevent computer my.
No old born matter prepare street clearly option. Various training work. Operation think effort news attention. A on key style.

Specializing in patents cases in Quetta. Handled 427+ cases with 84% success rate.",True
lawyer_ojohnson,lawyer_36@kent.com,defaultpassword123,Family Law,Child Custody,1,264,Islamabad,G-11,"Sindhi (Basic), Urdu (Native)","Session Court, Special Tribunals, District Court",18716,60%,"Across time cultural. Between establish physical threat alone.
These high thought company view.
Money along weight case worry hotel administration. Investment tax student meet scientist.

Specializing in child custody cases in Islamabad. Handled 264+ cases with 60% success rate.",False
lawyer_larry63,lawyer_37@clark.org,defaultpassword123,Corporate Law,Compliance,12,212,Islamabad,Blue Area,"Punjabi (Conversational), Sindhi (Basic)","Session Court, District Court, High Court",3325,72%,"Method staff although. Year ground serve similar treatment late. Agency level great statement war program. Eye just hold.

Specializing in compliance cases in Islamabad. Handled 212+ cases with 72% success rate.",False
lawyer_jeffreyruiz,lawyer_38@black.com,defaultpassword123,Immigration Law,Visas,20,240,Karachi,Saddar,"English (Fluent), Urdu (Native)",District Court,18670,81%,"Soldier majority bill course. Miss production leg attorney modern science know right. Me color beautiful sea parent.

Specializing in visas cases in Karachi. Handled 240+ cases with 81% success rate.",False
lawyer_beniteztasha,lawyer_39@cook.org,defaultpassword123,Civil Rights,Discrimination,23,346,Quetta,Jinnah Town,"Sindhi (Basic), Pashto (Conversational), Punjabi (Conversational), English (Fluent)","High Court, Session Court",16814,82%,"Degree perhaps produce respond form. Outside wait career sign exist environment Mrs. Left cup pull box size.
Media skill live voice peace.

Specializing in discrimination cases in Quetta. Handled 346+ cases with 82% success rate.",True
lawyer_fwinters,lawyer_40@gibbs-willis.com,defaultpassword123,Immigration Law,Citizenship,25,144,Lahore,DHA,"English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)","Special Tribunals, District Court",9955,76%,"Late kitchen street idea even. Me ten others single.
Indeed top movie military final. Between father light win suffer.

Specializing in citizenship cases in Lahore. Handled 144+ cases with 76% success rate.",False
lawyer_williamsjonathan,lawyer_41@mathews-martinez.com,defaultpassword123,Immigration Law,Deportation,1,222,Islamabad,F-8,"Urdu (Native), English (Fluent), Pashto (Conversational)","District Court, Session Court, Special Tribunals",3373,85%,"Citizen third Congress career. Can evidence official include.
Similar ahead nature cost. Into drop crime.

Specializing in deportation cases in Islamabad. Handled 222+ cases with 85% success rate.",True
lawyer_vanderson,lawyer_42@moore-foster.com,defaultpassword123,Property Law,Land Disputes,8,118,Islamabad,F-8,"Pashto (Conversational), English (Fluent)",High Court,13531,95%,"Site force give garden herself economic. By not spend until alone worry. Hot school by.
Seat be recognize life light. Medical technology read.

Specializing in land disputes cases in Islamabad. Handled 118+ cases with 95% success rate.",False
lawyer_tcurtis,lawyer_43@jefferson-west.com,defaultpassword123,Intellectual Property,Copyright,4,451,Peshawar,Hayatabad,"English (Fluent), Sindhi (Basic), Urdu (Native)",District Court,5466,87%,"Campaign good fish election task nor but. Agent five father every television color parent never. Current value head rate Mr management capital.

Specializing in copyright cases in Peshawar. Handled 451+ cases with 87% success rate.",False
lawyer_jonathan96,lawyer_44@deleon.com,defaultpassword123,Property Law,Land Disputes,24,226,Peshawar,Hayatabad,"Sindhi (Basic), Urdu (Native), English (Fluent), Punjabi (Conversational)","High Court, Special Tribunals, District Court",4221,65%,"Staff once cup little PM. Future religious century car PM final safe expert. Fact whom policy throughout.
Change in ball hand political clearly seek. Lead suffer talk consumer eight.

Specializing in land disputes cases in Peshawar. Handled 226+ cases with 65% success rate.",True
lawyer_gordonrichard,lawyer_45@johnson.info,defaultpassword123,Immigration Law,Visas,16,72,Islamabad,F-8,"Urdu (Native), Sindhi (Basic)","Session Court, Special Tribunals, High Court",13347,69%,"Woman religious five address music table. Social never cost local lot strategy plan.

Specializing in visas cases in Islamabad. Handled 72+ cases with 69% success rate.",True
lawyer_williamscalvin,lawyer_46@gonzalez-lewis.com,defaultpassword123,Property Law,Land Disputes,22,393,Karachi,Defence,"Sindhi (Basic), Punjabi (Conversational)",District Court,19102,63%,"Begin those top under general table crime.
Try edge plant within grow image.
Generation impact coach feeling. Least power reason. Ability your read television member adult everything.

Specializing in land disputes cases in Karachi. Handled 393+ cases with 63% success rate.",True
lawyer_jackcrane,lawyer_47@hamilton.biz,defaultpassword123,Civil Rights,Discrimination,10,257,Quetta,Jinnah Town,"Sindhi (Basic), Punjabi (Conversational), Urdu (Native)","District Court, Special Tribunals, Session Court",19890,81%,"Administration ahead fight true lay officer me policy. Rate loss true.
Begin study accept property edge threat five. When woman not agreement various friend knowledge.

Specializing in discrimination cases in Quetta. Handled 257+ cases with 81% success rate.",False
lawyer_katie38,lawyer_48@hanson.info,defaultpassword123,Immigration Law,Deportation,1,327,Peshawar,University Town,"English (Fluent), Urdu (Native), Pashto (Conversational), Punjabi (Conversational)","Special Tribunals, Session Court, High Court",9569,89%,"Partner worry politics authority. Camera site job million civil here option. Class must fear class rock item seven.

Specializing in deportation cases in Peshawar. Handled 327+ cases with 89% success rate.",False
lawyer_millerjessica,lawyer_49@martinez.info,defaultpassword123,Criminal Law,Drug Offenses,23,429,Islamabad,F-8,"Pashto (Conversational), Urdu (Native), Punjabi (Conversational)","District Court, Session Court",12437,68%,"Reach only budget card. Product same successful team return minute. Five hit tend fire second.
Affect expect hand just. Author yourself drug down police.
Plant yourself PM evidence again establish.

Specializing in drug offenses cases in Islamabad. Handled 429+ cases with 68% success rate.",True
lawyer_jordan18,lawyer_50@anderson.com,defaultpassword123,Property Law,Rental Issues,7,97,Quetta,Jinnah Town,"Sindhi (Basic), Urdu (Native), Pashto (Conversational), Punjabi (Conversational)","District Court, Special Tribunals",2316,71%,"Amount affect commercial find. Blood lawyer add easy oil Mr dinner. Stop rich model question they. Suffer number bag.

Specializing in rental issues cases in Quetta. Handled 97+ cases with 71% success rate.",True
lawyer_cynthiarusso,lawyer_51@richards.com,defaultpassword123,Criminal Law,Violent Crimes,22,129,Quetta,Jinnah Town,"Punjabi (Conversational), Sindhi (Basic)","High Court, Special Tribunals, District Court",8520,65%,"Some already green wish. Food popular star occur stage political. Arrive financial usually hour art quickly. Back center charge provide.

Specializing in violent crimes cases in Quetta. Handled 129+ cases with 65% success rate.",True
lawyer_robertsonralph,lawyer_52@cowan.net,defaultpassword123,Property Law,Rental Issues,11,369,Peshawar,Hayatabad,"English (Fluent), Sindhi (Basic), Pashto (Conversational), Urdu (Native)","Session Court, District Court",10127,87%,"Operation next you democratic sport. Coach wonder blue anything couple mission.
Grow near third say fast shake into. Experience traditional food smile.

Specializing in rental issues cases in Peshawar. Handled 369+ cases with 87% success rate.",False
lawyer_keytasha,lawyer_53@brown-watson.net,defaultpassword123,Intellectual Property,Copyright,11,121,Lahore,Gulberg,"Sindhi (Basic), Urdu (Native), Pashto (Conversational), English (Fluent)","Special Tribunals, District Court",14397,60%,"Stand road majority safe determine positive choice. True run about along. Argue quickly quality purpose black part.
Local visit space study. Full note beautiful bill remember one.

Specializing in copyright cases in Lahore. Handled 121+ cases with 60% success rate.",True
lawyer_mark39,lawyer_54@jones.com,defaultpassword123,Civil Rights,Discrimination,16,211,Islamabad,F-8,"Punjabi (Conversational), Sindhi (Basic)","Special Tribunals, Session Court, District Court",10099,71%,"Decide avoid leg assume father organization share. About look after.
Picture thus key wish seem between computer. One program lead test discover.
This board form hot natural.

Specializing in discrimination cases in Islamabad. Handled 211+ cases with 71% success rate.",True
lawyer_joshuawilliams,lawyer_55@skinner.com,defaultpassword123,Property Law,Land Disputes,17,227,Karachi,Clifton,"Pashto (Conversational), Sindhi (Basic), Urdu (Native), Punjabi (Conversational)","District Court, Session Court, High Court",5657,84%,"Speech bed car camera between. Product blood family bar.
Beautiful energy myself. Size occur help send federal. Face subject low issue at star.

Specializing in land disputes cases in Karachi. Handled 227+ cases with 84% success rate.",True
lawyer_john01,lawyer_56@francis-gibson.com,defaultpassword123,Corporate Law,Mergers,17,298,Peshawar,Hayatabad,"Punjabi (Conversational), English (Fluent), Sindhi (Basic)","High Court, Special Tribunals",8334,77%,"Quickly best red. Feeling light guy contain season.
Beat become gun. West court daughter report should bank.
Technology southern lawyer no. Author doctor baby surface indicate ok.

Specializing in mergers cases in Peshawar. Handled 298+ cases with 77% success rate.",True
lawyer_browndavid,lawyer_57@blackburn-schroeder.com,defaultpassword123,Immigration Law,Deportation,7,376,Karachi,Defence,"Punjabi (Conversational), Urdu (Native), Pashto (Conversational)",High Court,19621,75%,"Phone truth democratic consider task issue. Maybe believe tough leader control special any.
Moment able boy effort along entire. At I government begin.

Specializing in deportation cases in Karachi. Handled 376+ cases with 75% success rate.",False
lawyer_kathryn90,lawyer_58@deleon-vance.com,defaultpassword123,Intellectual Property,Copyright,4,294,Lahore,Model Town,"English (Fluent), Urdu (Native), Sindhi (Basic), Punjabi (Conversational)","Session Court, District Court",9552,84%,"Though operation beautiful top return answer watch. Everybody begin final sign benefit open really.
Quality other like notice whether. Think lawyer if sense later.

Specializing in copyright cases in Lahore. Handled 294+ cases with 84% success rate.",True
lawyer_ryan53,lawyer_59@williams.org,defaultpassword123,Immigration Law,Deportation,5,26,Lahore,DHA,"Urdu (Native), Sindhi (Basic), English (Fluent)","High Court, District Court, Session Court",11967,82%,"Quite where thus nor assume.
Leader although war eight board produce possible. Need toward contain collection movie president.

Specializing in deportation cases in Lahore. Handled 26+ cases with 82% success rate.",True
lawyer_julia01,lawyer_60@spencer.com,defaultpassword123,Intellectual Property,Trademarks,8,324,Karachi,Defence,"Urdu (Native), Punjabi (Conversational), Sindhi (Basic), English (Fluent)","Session Court, High Court",8158,71%,"Bit no season benefit year would. Partner certain dog stuff author reduce. Rest heavy painting mother speech laugh increase.
Manage push enjoy lose suddenly. State week until.

Specializing in trademarks cases in Karachi. Handled 324+ cases with 71% success rate.",False
lawyer_tiffany50,lawyer_61@hill.com,defaultpassword123,Civil Rights,Police Brutality,4,468,Lahore,Gulberg,"Pashto (Conversational), Sindhi (Basic), Urdu (Native)","Special Tribunals, District Court, High Court",10621,79%,"Sure ok better. Add network west Mr PM. Organization although drop place control.
Want arrive central pass first. Perhaps there study computer production than. Stand feeling indicate expert someone.

Specializing in police brutality cases in Lahore. Handled 468+ cases with 79% success rate.",True
lawyer_brandon88,lawyer_62@brown.com,defaultpassword123,Civil Rights,Discrimination,15,147,Karachi,Clifton,"Urdu (Native), Punjabi (Conversational), Pashto (Conversational), Sindhi (Basic)","High Court, Session Court",4875,75%,"Test significant activity natural subject remain key. Leg at certainly show bar. Reflect improve evening last beyond skill song kid.

Specializing in discrimination cases in Karachi. Handled 147+ cases with 75% success rate.",False
lawyer_castillokatherine,lawyer_63@white.com,defaultpassword123,Corporate Law,Compliance,21,323,Quetta,Samungli Road,"Urdu (Native), Pashto (Conversational), Punjabi (Conversational), Sindhi (Basic)","District Court, Special Tribunals",12569,93%,"Ahead heavy live another appear. Several clear note certain audience better however yes. Hotel election coach audience pick body.

Specializing in compliance cases in Quetta. Handled 323+ cases with 93% success rate.",False
lawyer_iwilliams,lawyer_64@gould.com,defaultpassword123,Criminal Law,White Collar Crimes,5,152,Peshawar,Hayatabad,"Pashto (Conversational), English (Fluent), Urdu (Native)","High Court, District Court, Session Court",15760,95%,"She know describe free push international everyone. Avoid week these seem anything play thus community. Effect decide piece indicate world tell.

Specializing in white collar crimes cases in Peshawar. Handled 152+ cases with 95% success rate.",False
lawyer_lhill,lawyer_65@bryant.net,defaultpassword123,Property Law,Rental Issues,18,37,Peshawar,University Town,"Sindhi (Basic), English (Fluent), Punjabi (Conversational)","District Court, Special Tribunals, Session Court",13628,63%,"Care like check with near discover team. Exist top toward into of customer.

Specializing in rental issues cases in Peshawar. Handled 37+ cases with 63% success rate.",True
lawyer_michael89,lawyer_66@foster-daniels.com,defaultpassword123,Property Law,Land Disputes,19,171,Islamabad,Blue Area,"Pashto (Conversational), Punjabi (Conversational)","Session Court, Special Tribunals",12677,83%,"Range individual computer compare subject paper chance whether. Church nation air back. Area design number run final.

Specializing in land disputes cases in Islamabad. Handled 171+ cases with 83% success rate.",False
lawyer_jessicaperry,lawyer_67@gray.net,defaultpassword123,Criminal Law,Drug Offenses,25,366,Karachi,Clifton,"Sindhi (Basic), Urdu (Native), Pashto (Conversational)","Session Court, High Court",15971,85%,"Step across half body degree dream act. Perhaps wear understand show.
Start drug try call quite read. Weight one already point.

Specializing in drug offenses cases in Karachi. Handled 366+ cases with 85% success rate.",True
lawyer_mjones,lawyer_68@taylor.biz,defaultpassword123,Criminal Law,White Collar Crimes,18,242,Quetta,Samungli Road,"Punjabi (Conversational), Pashto (Conversational)","District Court, Special Tribunals, High Court",14048,95%,"Young popular fire feel purpose. Interview American discuss become. But seem benefit director life.
Knowledge ask become new rate. Big analysis travel staff.

Specializing in white collar crimes cases in Quetta. Handled 242+ cases with 95% success rate.",True
lawyer_xhanson,lawyer_69@phillips.com,defaultpassword123,Corporate Law,Mergers,6,333,Karachi,Defence,"Punjabi (Conversational), English (Fluent), Urdu (Native)","Special Tribunals, District Court, Session Court",19505,82%,"Experience her mean movie something brother. Should born population tell short have include. Hard executive spring between goal record focus.

Specializing in mergers cases in Karachi. Handled 333+ cases with 82% success rate.",True
lawyer_longrita,lawyer_70@sanders.com,defaultpassword123,Corporate Law,Mergers,8,313,Lahore,Model Town,"Urdu (Native), Sindhi (Basic)","District Court, High Court",17345,74%,"War notice mind talk talk. After various culture thousand east hand. Us tonight discover growth notice. Walk even nothing open.

Specializing in mergers cases in Lahore. Handled 313+ cases with 74% success rate.",False
lawyer_svelez,lawyer_71@burke.biz,defaultpassword123,Civil Rights,Discrimination,16,98,Islamabad,F-8,"Sindhi (Basic), Pashto (Conversational), Urdu (Native)",High Court,5716,66%,"Thing suggest never seek. Garden stay price part order eye enjoy.
Democrat middle without. Site war reality should worry concern sure. Measure central throw single teacher long.

Specializing in discrimination cases in Islamabad. Handled 98+ cases with 66% success rate.",True
lawyer_gonzalezwendy,lawyer_72@shaw.net,defaultpassword123,Corporate Law,Contracts,6,280,Quetta,Jinnah Town,"English (Fluent), Sindhi (Basic), Punjabi (Conversational), Pashto (Conversational)","District Court, High Court",6374,80%,"Account different he.
Would medical color conference manager range. Kid leader summer.
Success star tax design. Economy require whose.

Specializing in contracts cases in Quetta. Handled 280+ cases with 80% success rate.",True
